variable,missing_n,missing_pct,n_nonmissing
p_lcr,389,29.923076923076923,911
nlr,389,29.923076923076923,911
mpv,389,29.923076923076923,911
rdw,389,29.923076923076923,911
plr,389,29.923076923076923,911
pdw,388,29.846153846153843,912
log_homa_ir,333,25.615384615384617,967
fai,141,10.846153846153845,1159
dheas,138,10.615384615384615,1162
testosterone,138,10.615384615384615,1162
age,0,0.0,1300
