x,y,n,rho,p,q
fai,nlr,905,0.2008814054770419,1.0803573173413392e-09,9.723215856072054e-09
dheas,nlr,905,0.08691554189195433,0.00889568121840325,0.040030565482814626
testosterone,nlr,905,0.06741690095059562,0.042598897828987015,0.12779669348696104
dheas,plr,905,0.042938594766757134,0.19686287401691904,0.4429414665380679
testosterone,plr,905,-0.03792490922702318,0.25439609446660666,0.45791297003989195
fai,plr,905,-0.021505964479842023,0.5181827521883549,0.7772741282825323
dheas,rdw,905,-0.013373324005294828,0.6878499515313659,0.8843785091117561
testosterone,rdw,905,-0.0056661488251708554,0.8648357315622,0.9543975535344846
fai,rdw,905,0.0019035342673015166,0.9543975535344846,0.9543975535344846
