x,y,n,rho,p,q
fai,nlr,907,0.20091976530317068,1.0279826544314086e-09,9.251843889882678e-09
dheas,nlr,906,0.0838400679092844,0.011585178736204911,0.0521333043129221
testosterone,nlr,908,0.06424824918283197,0.05295007699210261,0.15885023097630782
dheas,plr,906,0.04111900410539556,0.21627668090338123,0.4838323195414102
testosterone,plr,908,-0.036736810621734964,0.26879573307856125,0.4838323195414102
fai,plr,907,-0.019111798050298633,0.5654008068822177,0.8106611555098663
dheas,rdw,906,-0.016001328428226512,0.6305142320632293,0.8106611555098663
testosterone,rdw,908,-0.010574676121388661,0.7503202822747712,0.8441103175591177
fai,rdw,907,0.0005822806990846193,0.9860281274740185,0.9860281274740185
