x,y,n,rho,p,q
dheas,p_lcr,906,-0.04917055576617793,0.13917322215076713,0.5292150775124967
dheas,mpv,906,-0.04838150880498467,0.14563685254525358,0.5292150775124967
dheas,pdw,907,-0.03974055628167243,0.23182694455671987,0.5292150775124967
fai,mpv,907,-0.03945451119361512,0.2352067011166652,0.5292150775124967
fai,p_lcr,907,-0.030067125873185864,0.3657459390885103,0.6583426903593185
testosterone,pdw,909,0.012398510322390862,0.7089174056036229,0.9644665749605581
testosterone,mpv,908,-0.007269404744399447,0.8268444889216107,0.9644665749605581
fai,pdw,908,-0.005882870839489446,0.8594878788718537,0.9644665749605581
testosterone,p_lcr,908,-0.0014804581828928775,0.9644665749605581,0.9644665749605581
